id,description,category,price,receiver,date,party,gifter,gift
1125,"Ontvangen van Marianne Thieme het boek ""Méér"" in het kader van het standpunt van de Partij voor de Dieren ter waarde van €14,95. Voor eigen gebruik gehouden.",boeken,14.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Marianne Thieme," het boek ""Méér"" in het kader van het standpunt van de Partij voor de Dieren ter waarde van"
1126,"Ontvangen van Calbona Uitgeverij het boek ""De dood bestaat niet"". Voor eigen gebruik gehouden.",boeken,,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Calbona Uitgeverij,
1127,"Ontvangen van Adjiedj Bakas het boek ""De toekomst van gezondheid"" in het kader van goedkoper maken van de zorg ter waarde van €24,95. Voor eigen gebruik gehouden.",boeken,24.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Adjiedj Bakas," het boek ""De toekomst van gezondheid"" in het kader van goedkoper maken van de zorg ter waarde van"
1128,"Ontvangen van uitgeverij De Bezige Bij het boek ""Moeten wij van elkaar houden"" ter waarde van €15,90 op verzoek van Alexander Pechtold. Voor eigen gebruik gehouden.",boeken,15.9,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,uitgeverij De Bezige Bij," het boek ""Moeten wij van elkaar houden"" ter waarde van"
1129,"Ontvangen van Uitgeverij Atlas Contact het boek ""Doe eens normaal man"" ter waarde €14,95 in het kader van de formatieperiode 2012. Voor eigen gebruik gehouden.",boeken,14.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Uitgeverij Atlas Contact,
1130,"Ontvangen van Pharos uitgevers het boek ""De succes crisis"" in het kader van aanbieding van de eerste 150 exemplaren aan bekende Nederlanders (Kamerleden) ter waarde van €17,95. Voor eigen gebruik gehouden.",boeken,17.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Pharos uitgevers," het boek ""De succes crisis"" in het kader van aanbieding van de eerste 150 exemplaren aan bekende Nederlanders (Kamerleden) ter waarde van"
1131,"Ontvangen van John le Carre (auteur) het boek ""Een broze waarheid"" ter waarde van €19,95. Voor eigen gebruik gehouden.",boeken,19.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,John le Carre (auteur)," het boek ""Een broze waarheid"" ter waarde van"
1132,"Ontvangen van Adjiedj Bakas het boek ""Het einde van de privacy"" ter waarde van €22,50. Voor eigen gebruik gehouden.",boeken,22.5,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Adjiedj Bakas," het boek ""Het einde van de privacy"" ter waarde van"
1133,"Ontvangen van uitgeverij Kluwer, a Wolters Kluwer het business, het boek ""Duurzaam Denken Doen"" ter waarde van €15,50. Voor eigen gebruik gehouden.",boeken,15.5,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,"uitgeverij Kluwer, a Wolters Kluwer"," het business, het boek ""Duurzaam Denken Doen"" ter waarde van"
1134,"Ontvangen van het Voedingscentrum het boek ""53 recepten voor een gezondere bbq"" in het kader van gezond eten ter waarde van €12,95. Voor eigen gebruik gehouden.",boeken,12.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,het Voedingscentrum," het Voedingscentrum het boek ""53 recepten voor een gezondere bbq"" in het kader van gezond eten ter waarde van"
1135,Ontvangen 2 kaarten voor Dutch Valley eerste editie op uitnodiging van Buma/Stemra. De waarde is onbekend.,uitnodigingen en tickets,,"Kuiken, A.H. (Attje)",2011-08-13,GL-PvdA,nan,2 kaarten voor Dutch Valley eerste editie op uitnodiging van Buma/Stemra. De waarde is onbekend
1136,"Ontvangen de film “Sicko” van Micheal Moore ter waarde van €11,99 als kerstgeschenk/overweging zorg. Voor eigen gebruik gehouden.",overig,11.99,"Kuiken, A.H. (Attje)",2011-04-07,GL-PvdA,nan,de film “Sicko” van Micheal Moore ter waarde van
1137,"Ontvangen een boek “Minderheidskabinet” van Willem Vermeend en Emile Bode ter waarde van €17,50. Voor eigen gebruik gehouden.",boeken,17.5,"Kuiken, A.H. (Attje)",2010-12-10,GL-PvdA,nan,een boek “Minderheidskabinet” van Willem Vermeend en Emile Bode ter waarde van
1138,"Ontvangen het boek ""De Driehoeksverhouding in het strafrechtelijk vooronderzoek"" door P.P.J. van der Meij ter waarde van €79,50.",boeken,79.5,"Kuiken, A.H. (Attje)",2010-05-25,GL-PvdA,nan," het boek ""De Driehoeksverhouding in het strafrechtelijk vooronderzoek"" door P.P.J. van der Meij ter waarde van"
1139,"Ontvangen een tonnetje met noodpakket van DENK VOORUIT in het kader van rampenbestrijding ter waarde van €79,95.",overig,79.95,"Kuiken, A.H. (Attje)",2010-04-28,GL-PvdA,DENK VOORUIT in,een tonnetje met noodpakket van DENK VOORUIT in het kader van rampenbestrijding ter waarde van
1140,"Ontvangen van de Juridische Hogeschool Avans-Fontys in Tilburg een boekenbon ter waarde van €50,-- als bedankje voor deelname aan de adviesraad van de school. Voor eigen gebruik gehouden.",boeken,50.0,"Kuiken, A.H. (Attje)",2010-04-07,GL-PvdA,de Juridische Hogeschool Avans-Fontys in Tilburg,de Juridische Hogeschool Avans-Fontys in Tilburg een boekenbon ter waarde van
1141,"Ontvangen van dhr. Poot het boek ""Doodzonde tegen de rechtstaat"" van Jan Poot. Het boek is retour gezonden.",boeken,,"Kuiken, A.H. (Attje)",2009-12-10,GL-PvdA,dhr. Poot,
1142,"Ontvangen van de firma Oce het boek ""Oce, van nature innovatief"" ter waarde van ongeveer €30,--.",boeken,30.0,"Kuiken, A.H. (Attje)",2008-01-09,GL-PvdA,de firma Oce," de firma Oce het boek ""Oce, van nature innovatief"" ter waarde van"
1143,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",boeken,69.95,"Kuzu, T. (Tunahan)",2022-03-31,DENK,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
