"Aartsen, A.A. (Thierry) - VVD",
Ontvangen van IPO Interprovinciaal Overleg een vogelhuisje. De waarde is onbekend.,18-05-2021
Ontvangen van het CNV Zorg en Welzijn een oplader. De waarde is onbekend.,18-05-2021
Ontvangen van ASVZ doosjes met paaseitjes. De waarde is onbekend.,24-03-2021
"Ontvangen van college gedeputeerden Zeeland het kookboek ""Ruige kost"". De waarde is onbekend.",12-03-2021
Ontvangen bij een werkbezoek aan Dehaco in Raamsdonksveer een flesje (200ml) Moeierboompke likeur. De waarde is onbekend.,12-03-2021
"Ontvangen van Hogeschool Zeeland een fles wijn, zeepje in vorm Zeeuwse knoop en Zeeuwse bonbons vanwege deelname debat. De waarde is onbekend.",11-03-2021
"Ontvangen bij een werkbezoek aan minicamping De Visser in Zoutelande vijf eieren, gehaakt kippetje, potje met bloemzaad. De waarde is onbekend.",09-03-2021
Ontvangen vanwege deelname aan het nationaal zorgdebat een flacon (500ml) handzeep en een flacon (250 ml) handlotion. De waarde is onbekend.,08-03-2021
"Ontvangen op van de Rotaryclub Middelburg een bon van €20,-.",07-03-2021
Ontvangen van middelbare CSW Middelburg een bos bloemen. De waarde is onbekend.,03-03-2021
"Ontvangen tijdens een werkbezoek aan Hoeksche Waard een mandje met voorjaarsbloemen, een fles lokale wijn en happy socks Hoeksche Waard. De waarde is onbekend.",03-03-2021
"Ontvangen van de Rotary Middelburg een boekenbon vanwege deelname debat ter waarde van €20,-.",24-02-2021
"Ontvangen van het college gedeputeerden Zeeland het kookboek ""Ruige kost"". De waarde is onbekend.",17-02-2021
Ontvangen van het provinciebestuur Zeeland een blikje met Zeeuwse knoopjesdrop. De waarde is onbekend.,05-11-2020
Ontvangen van het provinciebestuur Limburg een kinderlunchbox met inhoud. De waarde is onbekend.,05-11-2020
Ontvangen een Groninger koek van de Vereniging van Groninger Gemeenten. De waarde is onbekend.,08-10-2020
"Ontvangen van CDJA Flevoland een boekenbon van €20,-, een mondkapje (de waarde is onbekend) en een camera-bedekker (de waarde is onbekend).",28-09-2020
Ontvangen van WNL een mok met zakje ministroopwafels vanwege deelname aan radioprogramma in Hilversum. De waarde is onbekend.,26-09-2020
"Ontvangen van Unicef-Jongeren Unicef Notitieblokken, in het kader van #MijnNieuweWereld. De waarde is onbekend.",10-09-2020
Ontvangen van ANBO een chocoladehart in het kader van #hartonderderiem. De waarde is onbekend.,08-09-2020
Ontvangen van WNL Opiniemakers een mok vanwege deelname aan radioprogramma Vlissingen. de waarde is onbekend.,25-07-2020
"Ontvangen van gehandicapteninstelling ASVZ een bakje, twee zeepjes en een kaars. De waarde is onbekend.",17-07-2020
Ontvangen van Omroep MAX een fles witte wijn als dank voor de deelname aan Hollandse Zaken. De waarde is onbekend.,04-07-2020
"Ontvangen van Stichting Vrije Recreatie (SVR) een boeket bloemen, een boek over het 50-jarig bestaan en een tas van zeildoek met twee mokken ‘50-jarig bestaan’. De waarde is onbekend.",18-06-2020
Ontvangen van NAPA (National Association Physician Assistants) een fles rosé als dank voor de deelname aan een panel. De waarde is onbekend.,17-06-2020
Ontvangen van vrouwelijke kermisexploitanten tijdens een petitie een mand met zuurstokken en knuffels. De waarde is onbekend. Uitgedeeld onder fractie en medewerkers beveiliging.,09-06-2020
Ontvangen van WNL een reep chocolade als dank voor de bijdrage aan hun ochtendprogramma. De waarde is onbekend.,01-04-2020
Ontvangen van WNL een reep chocolade als dank voor de bijdrage aan hun ochtendprogramma. De waarde is onbekend.,12-03-2020
"Ontvangen van CDA Drenthe een fles wijn, kaas en noten als dank voor deelname aan een avond over zorg in de regio. De waarde is onbekend.",02-03-2020
Bijgewoond op uitnodiging van de Provincie Zeeland met twee personen de Vestingcross te Hulst (inclusief lunch). De waarde is onbekend.,16-02-2020
Ontvangen van ASVZ diverse koeken en chocolade als dank voor het afleggen van een werkbezoek. De waarde is onbekend.,14-02-2020
Ontvangen van CDA Sluis twee Zeeuwse knoopservetringen als dank voor de deelname aan een panel. De waarde is onbekend.,07-02-2020
"Ontvangen van de Federatie van Technologiebranches (FHI) een escaperoom-kaartspel. De geschatte waarde is €14,99.",17-12-2019
Ontvangen van het CDJA een mand met Zeeuwse producten als dank voor het spreken tijdens een deelsessie op het CDJA-congres te Middelburg. De waarde is onbekend.,23-11-2019
Ontvangen van CDAV Brabant een kookboek met streekrecepten en een chocoladeletter als dank voor het spreken op een bijeenkomst over 5G. De waarde is onbekend.,22-11-2019
Ontvangen van NAPA een fles rode wijn als dank voor deelname aan een panel tijdens het NAPA-congres. De waarde is onbekend.,15-11-2019
Ontvangen van BO Geboortezorg een beeldje als dank voor ontvangst en gesprek. De waarde is onbekend.,07-11-2019
Ontvangen van CDA Hulst een fles wijn als dank voor het spreken op de algemene ledenvergadering. De waarde is onbekend.,18-10-2019
Ontvangen van Emergis GGZ een doosje chocolade als dank voor het houden van een presentatie over het boek ‘Helden’. De waarde is onbekend.,15-10-2019
Ontvangen van de FNV een paraplu en een bos bloemen als dank voor deelname aan een debat over marktwerking in de zorg. De waarde is onbekend.,04-10-2019
Ontvangen van de Werkgroep Zorg voor Woerden e.o. een Woerdense kaas als dank voor het spreken op een avond over de zorg in Woerden. De waarde is onbekend.,01-10-2019
Ontvangen van fruittelers te Kapelle een bakje met Zeeuwse producten (waaronder drop) als dank voor het afleggen van een werkbezoek. De waarde is onbekend.,28-09-2019
Ontvangen van Bouwmensen Twente een fles wijn als dank voor ontvangst en rondleiding in de Kamer. De waarde is onbekend.,25-09-2019
Geschenk,Datum
Ontvangen van CDA Breda een bos bloemen als dank voor het spreken tijdens een diner. De waarde is onbekend.,25-09-2019
"Ontvangen van het Medisch Contact een toegangskaart voor het Mauritshuis als dank voor het bijwonen van een ontbijtbijeenkomst. De waarde is €14,-.",18-09-2019
"Ontvangen van VNO-NCW Brabant Zeeland een bos bloemen als dank voor ontvangst en rondleiding in de Kamer. De geschatte waarde is €30,-.",16-09-2019
Ontvangen van Drechtsteden een doos chocolade en een waterkaraf als dank voor het bijwonen van een evenement. De waarde is onbekend,05-09-2019
"Ontvangen van De Correspondent het boek ‘Hoe gaan we dit uitleggen’ (auteur: J. Mommers). De geschatte waarde is €20,-.",11-06-2019
"Ontvangen van het Nederlands Tijdschrift voor Tandheelkunde een boekenbon als dank voor het meewerken aan de editie juni 2019. De waarde is €50,-.",11-06-2019
Ontvangen van Reinier van Arkel het boek ‘Reinier van Arkel 1442-1992’ (auteur: dr. A.C.M. Kappelhof) als dank voor het afleggen van een werkbezoek. De waarde is onbekend.,07-06-2019
"Ontvangen van de Hogeschool Zeeland een boekenbon als dank voor ontvangst en gesprek in de Tweede Kamer. De waarde is €25,-.",06-06-2019
"Ontvangen van Wemos het boek ‘Legaal maar fataal’ (geschreven door N. Freudenberg) als dank voor deelname aan een debat. De geschatte waarde is €25,-.",16-05-2019
"Ontvangen van de Vrienden van Cobbenhagen het boek 'Thorbecke wil het' (geschreven door R. Aerts) en een boekenbon als dank voor de ontvangst en het gesprek met hen. De geschatte waarde is €70,-.",15-05-2019
Ontvangen van de gemeente Vlissingen een herdenkingsvlag voor 75 jaar vrijheid. De waarde is onbekend.,25-04-2019
Bijgewoond op uitnodiging van Competition Support het Aspergediner te Nieuwspoort Den Haag. De waarde is onbekend.,17-04-2019
"Bijgewoond op uitnodiging van de gemeente Sluis met 2 personen de Mattheus Passion te Aardenburg. De waarde van toegangskaarten is €170,-.",13-04-2019
"Bijgewoond op uitnodiging van de voorzitter van het CDA met 2 personen de Mattheus Passion te Rotterdam. De waarde van de hapjes en drankjes is onbekend. De waarde van de toegangskaarten is €70,-.",12-04-2019
Ontvangen van een delegatie van het Tsjechisch parlement een visitekaartjeshouder en een sjaal als dank voor het gesprek met de vaste commissie voor VWS. De waarde is onbekend.,03-04-2019
Ontvangen van CDA Flevoland het boek 'De helpende hand' (geschreven door E. Vriend) als dank voor de aanwezigheid bij een werkbezoek in Flevoland. De waarde is onbekend.,08-03-2019
Ontvangen van studenten van de Hanzehogeschool Groningen diverse chocolade als dank voor de ontvangst van en het gesprek met hen. De waarde is onbekend.,07-03-2019
"Ontvangen van het bestuurscollege van Saba het boek ""Saban Cottages"" ter gelegenheid van het afscheid van de portefeuille Koninkrijksrelaties. De waarde is $19,95.",20-02-2019
Bijgewoond op uitnodiging van de Provincie Zeeland met twee personen een lunch en de Vestingcross te Hulst. De waarde is onbekend.,17-02-2019
"Ontvangen van de Landelijke Organisatie van Aspirant Huisartsen (LOVAH) als dank voor deelname aan een paneldiscussie een VVV-bon ter waarde van €75,- en een boeket bloemen waarvan de waarde onbekend is.",25-01-2019
"Ontvangen van de Federatie van Technologiebranches (FHI) een draagbare lamp van het merk Philips met een geschatte waarde van €35,-.",20-12-2018
"Ontvangen van BPRA een fles port en een prent van Den Haag naar aanleiding van de medewerking aan een bijeenkomst van BPRA. De gezamenlijke waarde is €50,-.",24-04-2018
Ontvangen van Provincie Zeeland ontvangst inclusief lunch en toegang tot Vestingcross in Hulst. De waarde is onbekend.,18-02-2018
Bijgewoond op uitnodiging van gemeente Den Haag met 2 personen het Prinsjesdagconcert. De waarde is onbekend.,19-09-2017
"Bergkamp, V.A. (Vera) - D66",
Geschenken,
Geschenk,Datum
"Ontvangen van de Vereniging van Oud-Parlementariërs het boek ‘De formatie’ van Ed van Thijn ter waarde van €20,95.",10-10-2023
Ontvangen van medewerkers van de Nationale Assemblee uit Suriname het boek “Suriname Discovered”. De waarde is onbekend.,18-09-2023
Ontvangen van medewerkers van de Nationale Assemblee uit Suriname een glazen beeld met daarin 3D foto van het gebouw van het Nationale Assemblee van Suriname erin. De waarde is onbekend.,18-09-2023
Ontvangen van de ambassadeur van China (TAN Jian) een doos Mooncakes i.h.k.v. een feestdag in China. De waarde is onbekend.,14-09-2023
"Ontvangen van de Provincie Zeeland een zilveren mosselbestek ter waarde van €30,-.",05-07-2023
"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",04-07-2023
"Ontvangen van Paul Schnabel, voorzitter van bestuur Stichting Synthesis het boek ""Politieke polarisatie in Nederland"" ter waarde van € 19,90.",03-07-2023
"Ontvangen van Alexander van Kessel het boek ""Het vertrouwen zoek. De kabinetsformatie 2021/2022 geëvalueerd"" ter waarde van € 29,90.",03-07-2023
"Ontvangen een ‘Schijf van Vijf kookboek’ gekregen van mw. Verhoef, directeur Voedingscentrum, ter waarde van €19.95.",30-06-2023
"Ontvangen een doos met koffie/thee, cashewnoten, doek, honing en een ingelijst kunstwerk van zilveren lotusbloemen tijdens het ontvangst van de deputy prime minister van Vietnam. De waarde is onbekend.",26-06-2023
"Ontvangen van familie Khan het boek ‘de Heilige Qor’aan, Arabisch – Nederlands' ter waarde van €40,-, een bijlage bij de Heilige Qor’aan hoofdstuk 42 (ingelijst) en een doos dadels. De waarde is onbekend.",26-06-2023
"Ontvangen een boek over ‘Gelijk goed beginnen’ gekregen van de Directeur van SGF, Van Leer Foundation en Noaber Foundation, ter waarde van €31,50.",31-05-2023
"Ontvangen van het Anne Frank huis het boek 'Anne Frank Huis' ter waarde van €12,50.",30-05-2023
"Ontvangen tijdens het bezoek aan het Parlement en Senaat van België een kristallen vaas, een doosje chocolaatjes en een doos koekjes. De waarde is onbekend.",15-05-2023
"Ontvangen tijdens de Voorzittersconferentie in Praag van 23 t/m 25 april 2023 twee paar sokken, eau de toilet, make-up tasje, schaal en een ster van kraaltjes. De waarde onbekend.",23-04-2023
Ontvangen uit handen van de Franse President een pen van het merk S.T. Dupont. De waarde is onbekend.,11-04-2023
Ontvangen van Thierry Baudet een chocolade paasei. De waarde is onbekend.,11-04-2023
"Ontvangen het boek ‘Onze Constitutie’ van Wim Voermans ter waarde van €55,-.",27-03-2023
Geschenk,Datum
"Ontvangen van de Indonesische delegatie een beeldje van Arjuna, een sjaal en een plaatje met het logo/wapen van het Parlement van Indonesië. De waarde is onbekend.",16-03-2023
Ontvangen van Sheida Mohebbi het boek ‘De dood van alle illusies’. De waarde is onbekend.,16-03-2023
Ontvangen een fles wijn 'De Line' als dank voor het geven van een interview bij het programma Spraakvermaak met een geschatte waarde van €15.,12-03-2023
"Ontvangen van de Georgische Parlementsvoorzitter een doosje met daarin twee flessen wijn, een rosé en een rode wijn. De waarde is onbekend.",16-01-2023
Ontvangen van de ambassade van Bangladesh een sjaal (bij een kerstkaart). De waarde is onbekend.,23-12-2022
Ontvangen van de ambassadeur van de Volksrepubliek China een doos koek. De waarde is onbekend.,23-12-2022
"Ontvangen van Guido Bres-Stichting het boek 'Guido, een gids voor vandaag' ter waarde van €12,95.",21-12-2022
"Ontvangen van Ruud Hoemaker een ""GO Greener"" kalender ter waarde van €9,99.",21-12-2022
Ontvangen van de Vietnamese delegatie een doos met etenswaren en thee en een grote vaas. De waarde is onbekend.,21-12-2022
"Ontvangen van Hugo Bos, campagneleider Cultuur onder Vuur, het boek 'hoe winnen we de klimaatoorlog?'. De waarde is onbekend.",21-12-2022
Ontvangen van Jan Anthonie de Bruijn een fotoboekje van Prinsjesdag 2022. De waarde is onbekend.,21-12-2022
"Ontvangen het boek ‘Handboek Ministers’, ter waarde van € 44,99.",14-12-2022
Ontvangen een potje Haagse Binnenhof Bloemhoning. De waarde is onbekend.,12-12-2022
"Ontvangen van de Parlementsvoorzitter van Georgië een replica van ‘Bronze Age Archeological Example, Sapurtsle Burial, Aragvi Gorge, 15th century B.C.’. De waarde is onbekend.",05-12-2022
Ontvangen van de ambassadeur van Bangladesh een sjaal van het merk Hand Touch. De waarde is onbekend.,30-11-2022
"Ontvangen het boek 'Mijn baas draagt ook een onderbroek' van Laurent de Vries ter waarde van € 9,95.",23-11-2022
"Ontvangen het boek ‘Politieke Polarisatie in Nederland' van Paul Dekker ter waarde van € 19,90.",26-10-2022
Ontvangen van de Somalische Parlementsvoorzitter een houten beeldje waarop een man en een kameel uitgebeeld staan. De waarde is onbekend.,10-10-2022
"Ontvangen van het Centrum voor parlementaire geschiedenis als dank voor een bijdrage aan een symposium het boek ‘Grote idealen, smalle marges. Een parlementaire geschiedenis van de lange jaren zeventig’ ter waarde €49,90.",08-09-2022
"Ontvangen naar aanleiding van een gesprek op 6 juli 2022 het boek 'On Tyranny; Twenty Lessons from the Twentieth Century’ ter waarde van €7,99.",18-07-2022
"Ontvangen tijdens een beleefdheidsbezoek van de ambassadeur van het Verenigd Koninkrijk de volgende 3 producten als geschenk gekregen: clotted cream shortbread van het merk House of Commons, chocola (melk en puur) van het merk",27-06-2022
Charbonnel en Walker en een doos thee van het merk House of Commons. De waarde onbekend.,
Ontvangen van de Belgische Parlementsvoorzitters een doosje Belgische chocolade van het merk Ariqua Denis en een sjaal. De waarde is onbekend.,30-05-2022
Ontvangen van de familie Pieterson tijdens hun bezoek aan de Tweede Kamer twee paar sokken van ‘make a wish’. De waarde is onbekend.,30-05-2022
Ontvangen van de organisatie als dank voor het houden van een toespraak in Gorinchem bij een symposium ouderinitiatieven een pakket met een aantal voedingsmiddelen uit de streek. De waarde is onbekend.,14-05-2022
"Ontvangen van de Armeense premier een boek met kaarten van Armenië, een fles Ararat en een klein Armeens tapijt. De waarde is onbekend.",11-05-2022
Ontvangen van de President van Bosnië-Herzegovina een ingelijste plaquette in het zilver met de stadsaanzicht van Bosnië. De waarde is onbekend.,25-04-2022
"Ontvangen het boek ‘Het religieuze conflict in onze tijd’ ter waarde van €19,95.",19-04-2022
Ontvangen het fotoboek ‘In Memoriam’ van het Nationaal Holocaust Namenmonument in Amsterdam. De waarde is onbekend.,12-04-2022
Ontvangen tijdens een staatsbanket van de President van India een marmeren (bijzet)tafeltje. De waarde is onbekend.,06-04-2022
"Ontvangen van Noordhoff, uitgever van de bosatlassen, de 56e editie van de Grote Bosatlas ter waarde van €69,95.",31-03-2022
"Ontvangen het boek ""De zeven vinkjes"" ter waarde van €21,99.",09-02-2022
"Ontvangen van J.Th.J. van den Berg het boek 'Macht verloren, gezag versterkt’ ter waarde van €14,95.",25-01-2022
"Ontvangen van J.Th.J. van den Berg het boek ‘Kortheidshalve' ter waarde van €24,99.",25-01-2022
